weapon1,weapon2,hypothesis,accf,cmc,n,split1,split2,split3
196868,129620,0,14.8014,2,41,n,n,t
196868,869719,0,11.3845,0,41,n,n,t
196868,161035,0,13.6304,0,41,t,n,n
196868,314790,0,10.697,0,41,n,n,t
388541,129620,0,13.3865,0,40,n,n,t
388541,869719,0,13.2146,0,40,n,n,t
388541,161035,0,13.4187,1,40,t,n,n
388541,314790,0,11.6451,1,40,n,n,t
129620,869719,0,18.0606,0,33,v,t,t
129620,107935,0,10.3767,1,33,n,n,t
129620,335434,0,13.153,0,33,v,t,t
869719,107935,0,12.8326,1,34,n,n,t
869719,335434,0,8.7353,1,34,v,t,t
161035,314790,0,11.2672,0,33,n,t,n
161035,107935,0,12.6837,1,33,t,n,n
161035,335434,0,9.1199,2,33,n,t,n
314790,107935,0,11.4038,1,36,n,n,t
314790,335434,0,10.2956,2,36,v,t,t
107935,335434,0,11.0102,1,38,n,n,t
692417,805904,0,12.9729,1,36,n,n,t
692417,941546,0,10.3188,0,36,v,t,t
692417,128177,0,10.9723,1,36,n,n,t
692417,901422,0,17.9913,4,36,n,t,n
692417,790992,0,13.991,1,36,v,t,t
805904,941546,0,9.5934,0,26,n,n,t
805904,128177,0,8.9906,0,26,t,v,t
805904,901422,0,12.9574,2,26,t,n,n
805904,790992,0,9.224,0,26,n,n,t
941546,128177,0,13.0784,1,37,n,n,t
941546,338475,0,10.859,1,37,v,t,t
941546,588899,0,11.1179,2,37,n,n,t
128177,338475,0,12.1962,1,31,n,n,t
128177,588899,0,13.9923,0,31,t,v,t
901422,790992,0,15.2367,0,34,n,t,n
901422,338475,0,16.7897,2,34,n,t,n
901422,588899,0,21.857,3,34,t,n,n
790992,338475,0,12.6379,1,30,v,t,t
790992,588899,0,14.3638,1,30,n,n,t
338475,588899,0,16.4129,0,39,n,n,t
172408,323118,0,10.0316,1,36,n,t,n
172408,129054,0,14.2003,1,36,n,t,n
172408,177835,0,11.5757,0,36,n,t,n
172408,415205,0,14.8343,1,36,n,t,n
172408,833407,0,13.3915,1,36,t,t,v
323118,129054,0,11.6696,0,27,v,t,t
323118,177835,0,13.3623,0,27,v,t,t
323118,415205,0,12.4487,1,27,v,t,t
323118,833407,0,14.862,0,27,n,t,n
129054,177835,0,11.6251,1,28,v,t,t
129054,122330,0,10.4207,0,28,n,n,t
129054,463623,0,10.0361,1,28,n,t,n
177835,122330,0,18.6903,1,29,n,n,t
177835,463623,0,16.0778,1,29,n,t,n
415205,833407,0,25.3024,1,36,n,t,n
415205,122330,0,17.1784,1,36,n,n,t
415205,463623,0,8.4122,0,36,n,t,n
833407,122330,0,22.74,2,33,t,n,n
833407,463623,0,12.1802,1,33,t,t,v
122330,463623,0,12.9531,0,30,t,n,n
175269,706847,0,12.5846,0,33,t,t,v
175269,972208,0,12.2197,0,33,t,t,v
175269,172538,0,14.0348,0,33,t,t,v
175269,101571,0,20.8947,1,33,n,t,n
175269,117186,0,11.0922,0,33,t,t,v
706847,972208,0,17.3313,3,35,t,t,v
706847,172538,0,19.4447,1,35,t,t,v
706847,101571,0,21.191,1,35,n,t,n
706847,117186,0,17.7745,0,35,t,t,v
972208,172538,0,12.6202,1,49,t,t,v
972208,528461,0,13.4265,0,49,n,t,n
972208,159141,0,8.9739,1,49,t,t,v
172538,528461,0,13.9468,0,36,n,t,n
172538,159141,0,53.6333,0,36,t,t,v
101571,117186,0,18.8419,1,30,n,t,n
101571,528461,0,9.0046,0,30,v,t,t
101571,159141,0,15.5013,0,30,n,t,n
117186,528461,0,14.1843,0,28,n,t,n
117186,159141,0,12.3077,0,28,t,t,v
528461,159141,0,5.2825,0,30,n,t,n
136953,125476,0,12.4634,0,26,t,n,n
136953,108074,0,9.6958,0,26,t,n,n
136953,610855,0,8.268,0,26,t,n,n
136953,637295,0,16.2537,1,26,t,v,t
136953,174072,0,9.2184,0,26,n,n,t
125476,108074,0,18.7728,2,38,t,t,v
125476,610855,0,9.1496,0,38,t,t,v
125476,637295,0,11.8949,0,38,t,n,n
125476,174072,0,10.4188,0,38,n,t,n
108074,610855,0,10.2057,0,40,t,t,v
108074,141753,0,12.9243,0,40,n,t,n
108074,130808,0,10.2804,1,40,t,t,v
610855,141753,0,26.4785,1,34,n,t,n
610855,130808,0,10.7574,0,34,t,t,v
637295,174072,0,11.1617,0,27,n,n,t
637295,141753,0,10.9382,0,27,n,n,t
637295,130808,0,13.5754,0,27,t,n,n
174072,141753,0,15.6487,2,44,v,t,t
